Date : 2024-10-13 15:53:45
Directory : c:\xampp\htdocs\Raccoon_TODOECHO
Total : 62 files,  2793 codes, 198 comments, 449 blanks, all 3440 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividadesV.js                       | JavaScript |        444 |         28 |         76 |        548 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.css                        | CSS        |       -162 |        -12 |        -26 |       -200 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.js                         | JavaScript |        -78 |        -17 |        -17 |       -112 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.php                        | PHP        |        -83 |         -1 |        -11 |        -95 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\Cdashboard.html                | HTML       |        -40 |         -2 |         -5 |        -47 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.css                    | CSS        |        -50 |         -6 |         -7 |        -63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.php                    | PHP        |        -27 |         -1 |         -5 |        -33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Entrenadores\entrenadoresV.html                   | HTML       |         35 |          5 |         11 |         51 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\animationsV.js                            | JavaScript |          0 |          1 |          1 |          2 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landing.css                               | CSS        |       -133 |         -9 |        -25 |       -167 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.html                             | HTML       |        -20 |          0 |          4 |        -16 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.js                               | JavaScript |        -39 |         -8 |        -16 |        -63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.css                                 | CSS        |         96 |          6 |         25 |        127 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.html                                | HTML       |         33 |          2 |         11 |         46 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbarV.js                                 | JavaScript |         22 |          4 |         16 |         42 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Productos\ProductosV.html                         | HTML       |         35 |          5 |          9 |         49 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcion.css                       | CSS        |       -213 |        -13 |        -46 |       -272 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.html                     | HTML       |        -98 |         -7 |        -12 |       -117 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.js                       | JavaScript |        -64 |         -9 |        -15 |        -88 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\actividadesV.html                                 | HTML       |        -42 |         -2 |         -7 |        -51 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\carritoV.html                                     | HTML       |        -42 |         -2 |         -5 |        -49 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\entrenadoresV.html                                | HTML       |        -42 |         -2 |         -5 |        -49 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Login\loginM.php                                  | PHP        |          0 |          7 |          2 |          9 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroC.js                             | JavaScript |         32 |          2 |         14 |         48 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroM.php                            | PHP        |          0 |          9 |          4 |         13 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Sesiones\logout.php                               | PHP        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formulario.css                                    | CSS        |         40 |         -1 |         12 |         51 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.html                                  | HTML       |          4 |          0 |          6 |         10 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.js                                    | JavaScript |         36 |          4 |         -7 |         33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\logout.php                                        | PHP        |         -7 |          0 |          0 |         -7 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\red.js                                            | JavaScript |        -59 |         -2 |        -10 |        -71 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\registro.css                                      | CSS        |       -174 |        -12 |        -29 |       -215 |
| c:\xampp\htdocs\Raccoon_TODOECHO\composer.json                                           | JSON       |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\Raccoon_TODOECHO\composer.lock                                           | JSON       |         78 |          0 |          1 |         79 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\global.css                                       | CSS        |         28 |          5 |          7 |         40 |
| Total                                                                                    |            |      2,793 |        198 |        449 |      3,440 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
